,Timestamp,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
64,24/11/2020 11:38:10,32,Male,Munich,Frontend Developer,7.0,5.0,Senior,Javascript,"Javascript / Typescript, Java / Scala",62000.0,30.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
67,24/11/2020 11:38:22,45,Male,Schleswig-Holstein,Software Engineer,26.0,18.0,Senior,C#,"C/C++, .NET, SQL",93000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
69,24/11/2020 11:40:04,28,Male,Berlin,Software Engineer,3.0,2.0,Middle,Js,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Quorum",55000.0,22.0,full-time,Unlimited contract,English,11-50,Startup,No
70,24/11/2020 11:40:05,29,Male,Konstanz area,Mobile Developer,6.0,3.0,Middle,android,Kotlin,53000.0,26.0,full-time,Unlimited contract,English,11-50,Startup,No
71,24/11/2020 11:40:24,36,Male,Munich,Backend Developer,15.0,3.0,Senior,java,PHP,55000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
72,24/11/2020 11:40:42,39,Male,Berlin,Software Engineer,10.0,2.0,Senior,C#,"Javascript / Typescript, .NET, SQL, Azure, Docker",75000.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No
73,24/11/2020 11:40:45,29,Male,Munich,Software Engineer,7.0,3.0,Senior,JavaScript ,"Kotlin, Javascript / Typescript, Java / Scala, Docker",80000.0,24.0,full-time,Unlimited contract,English,1000+,Product,No
74,24/11/2020 11:42:49,31,Male,Berlin,Engineering Manager,11.0,6.0,Lead,Java,"Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",80000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
78,24/11/2020 11:44:00,27,Male,Berlin,Software Engineer,5.0,1.0,Senior,Scala,Java / Scala,78000.0,30.0,full-time,Unlimited contract,English,1000+,Startup,No
79,24/11/2020 11:44:02,26,Female,Munich,Data Scientist,6.0,2.0,Middle,python,"Python, C/C++, SQL, Docker",60000.0,26.0,full-time,Unlimited contract,English,1000+,Product,No
80,24/11/2020 11:44:10,26,Male,Berlin,Software Engineer,8.0,3.0,Lead,Go,"Python, PHP, Javascript / Typescript, Go, Google Cloud, Kubernetes, Docker",85000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
81,24/11/2020 11:44:18,31,Female,Berlin,Analytics engineer,6.0,2.0,Middle,SQL,Python,60000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
82,24/11/2020 11:44:34,30,Male,Berlin,Software Engineer,10.0,2.0,Senior,Scala,"Python, Java / Scala, AWS, Docker",72000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
84,24/11/2020 11:44:59,43,Male,Berlin,Mobile Developer,5.0,3.0,Senior,Kotlin,"Kotlin, Java / Scala",72000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
85,24/11/2020 11:45:28,33,Male,Berlin,Software Engineer,5.0,1.0,Middle,python,Kubernetes,65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
86,24/11/2020 11:45:31,31,Male,Berlin,Software Engineer,9.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,"C#, .net core","Python, .NET, AWS, Azure, Kubernetes, Docker",60000.0,25.0,full-time,Unlimited contract,English,11-50,Startup,No
87,24/11/2020 11:46:15,32,Female,Berlin,QA Engineer,10.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Java,"Kotlin, Javascript / Typescript, SQL, Docker",61000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
88,24/11/2020 11:46:16,24,Male,Berlin,Data Scientist,4.0,2.0,Senior,Python,"Python, AWS, Docker",73000.0,24.0,full-time,Unlimited contract,English,101-1000,Startup,No
89,24/11/2020 11:46:21,29,Male,Berlin,DevOps,7.0,1.0,Lead,Kubernetes,"Python, Go, AWS, Kubernetes",78000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
90,24/11/2020 11:46:42,29,Male,Berlin,Data Scientist,4.0,4.0,Senior,Python,"SQL, AWS, Docker",81000.0,29.0,full-time,Unlimited contract,English,101-1000,Product,No
91,24/11/2020 11:46:48,30,Male,Munich,Hardware Engineer,5.0,5.0,Senior,VHDL,Python,75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
92,24/11/2020 11:48:46,35,Female,Berlin,Reporting Engineer,3.0,2.0,Middle,Power BI,"Python, Javascript / Typescript, SQL, SAP / ABAP, Google Cloud, Azure",55000.0,31.0,full-time,Unlimited contract,German,1000+,Product,No
95,24/11/2020 11:49:42,33,Male,Munich,QA Engineer,5.0,1.0,Senior,Java,Docker,60000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
96,24/11/2020 11:50:04,28,Male,Berlin,Software Engineer,8.0,3.0,Lead,PHP ,"Python, Javascript / Typescript, .NET, SQL, AWS, Azure, Kubernetes, Docker",80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
98,24/11/2020 11:50:51,32,Male,Munich,Software Engineer,7.0,3.0,Senior,Android,Kotlin,60000.0,38.0,full-time,Unlimited contract,English,51-100,Product,No
99,24/11/2020 11:50:52,30,Male,Berlin,Backend Developer,8.0,2.5,Senior,Scala,"Python, Kotlin, Java / Scala, SQL, Kubernetes, Docker",80000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
101,24/11/2020 11:51:35,31,Male,Munich,Software Engineer,10.0,2.0,Senior,Java,"Python, Javascript / Typescript, SQL, Kubernetes, Docker",68000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
103,24/11/2020 11:53:56,37,Male,Berlin,Software Engineer,10.0,3.0,Senior,PHP,"PHP, Javascript / Typescript, SQL",55000.0,26.0,full-time,Unlimited contract,English,11-50,Startup,No
104,24/11/2020 11:54:06,25,Male,Munich,Software Engineer,3.0,1.0,Middle,Java,"Python, SQL, AWS, Azure, Kubernetes, Docker",62000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
105,24/11/2020 11:54:18,36,Male,Berlin,Frontend Developer,12.0,4.0,Senior,JavaScript,"Javascript / Typescript, AWS, Docker",72000.0,26.0,full-time,Unlimited contract,English,up to 10,Startup,No
106,24/11/2020 11:54:32,27,Male,Munich,QA Engineer,5.0,1.0,Senior,Swift,"Kotlin, Ruby",58000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
107,24/11/2020 11:55:06,35,Male,Frankfurt,ML Engineer,12.0,10.0,Senior,ML,"Python, Java / Scala, R, SQL, AWS, Azure",120000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
108,24/11/2020 11:55:07,37,Male,Munich,Software Engineer,15.0,2.0,Senior,php,"PHP, Javascript / Typescript, SQL, Docker",75000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
109,24/11/2020 11:55:33,26,Male,Munich,Data Scientist,3.0,2.0,Middle,Python,"Python, SQL, AWS, Docker",65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
110,24/11/2020 11:55:57,33,Male,Frankfurt,Solution Architect,6.0,6.0,Middle,Python,"SQL, AWS, Google Cloud, Kubernetes, Docker",85000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
111,24/11/2020 11:56:00,34,Male,Berlin,Frontend Developer,7.0,1.0,Senior,JavaScript,Docker,65000.0,25.0,full-time,Unlimited contract,English,up to 10,Startup,No
112,24/11/2020 11:56:05,33,Male,Berlin,Backend Developer,12.0,6.0,Lead,PHP,"Javascript / Typescript, SQL, AWS, Docker",65000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
113,24/11/2020 11:56:25,30,Male,Berlin,QA Engineer,6.0,6.0,Middle,Javascript,"Javascript / Typescript, AWS",50000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
114,24/11/2020 11:56:47,29,Male,Berlin,Backend Developer,8.0,0.0,Senior,Scala,"Java / Scala, AWS, Kubernetes, Docker",72000.0,25.0,full-time,Unlimited contract,English,101-1000,Startup,No
115,24/11/2020 11:56:56,24,Male,Munich,Software Engineer,5.0,2.0,Middle,C++,"Javascript / Typescript, Go",79000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
117,24/11/2020 11:57:53,30,Female,Berlin,Software Engineer,8.0,2.0,Senior,"Scala, React.js","Javascript / Typescript, SQL, AWS, Kubernetes, Docker",75000.0,35.0,full-time,Unlimited contract,English,101-1000,Product,No
118,24/11/2020 11:57:55,28,Male,Cologne,BI Consultant,8.0,1.0,Senior,SQL,"Python, Javascript / Typescript",60000.0,28.0,full-time,Unlimited contract,English,up to 10,Consulting / Agency,No
119,24/11/2020 11:58:24,31,Male,Munich,Backend Developer,11.0,1.0,Senior,PHP,"Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",80000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
120,24/11/2020 11:59:14,28,Male,Munich,Mobile Developer,5.0,3.0,Senior,iOS,Swift,57000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
121,24/11/2020 11:59:20,32,Female,Kempten,Fullstack Developer,10.0,1.0,Middle,C#,"Javascript / Typescript, .NET, SQL",49000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
122,24/11/2020 11:59:33,28,Male,Berlin,Software Engineer,6.0,2.0,Senior,Java,"Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",65000.0,28.0,full-time,Unlimited contract,English,11-50,Startup,No
123,24/11/2020 11:59:38,26,Female,Munich,Data Scientist,3.0,1.0,Junior,Ml/Python,"Python, AWS, Docker",70000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
126,24/11/2020 12:00:59,31,Male,Berlin,Software Engineer,9.0,1.0,Senior,"C#, .net core","Python, Javascript / Typescript, .NET, AWS, Azure, Kubernetes, Docker",60000.0,25.0,full-time,Unlimited contract,English,11-50,Startup,No
127,24/11/2020 12:01:01,30,Male,Munich,Frontend Developer,6.0,1.0,Senior,Javascript,"Javascript / Typescript, AWS, Docker",75000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
128,24/11/2020 12:01:59,31,Male,Berlin,Frontend Developer,8.0,1.0,Senior,JavaScript/TypeScript,"Javascript / Typescript, Google Cloud, Docker",70000.0,24.0,full-time,Unlimited contract,English,101-1000,Startup,No
129,24/11/2020 12:02:04,37,Male,Munich,Backend Developer,12.0,4.0,Senior,php,"Javascript / Typescript, Docker",62000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
132,24/11/2020 12:06:20,25,Male,Munich,Backend Developer,5.0,0.0,Senior,Java,"Kotlin, Java / Scala, SQL, SAP / ABAP, Kubernetes, Docker",75000.0,24.0,full-time,Unlimited contract,English,101-1000,Product,No
133,24/11/2020 12:06:41,36,Male,Berlin,Backend Developer,19.0,5.0,Senior,PHP,"Javascript / Typescript, SQL, AWS, Docker",69000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
134,24/11/2020 12:06:58,40,Male,Berlin,Frontend Developer,7.0,1.0,Middle,Javascript,"PHP, Javascript / Typescript, Dart",54000.0,24.0,full-time,Unlimited contract,English,11-50,Product,No
136,24/11/2020 12:07:26,35,Male,Munich,Software Engineer,13.0,4.0,Senior,Java,"Kotlin, Java / Scala, AWS",80000.0,40.0,full-time,Unlimited contract,English,101-1000,Product,No
137,24/11/2020 12:07:43,42,Male,Berlin,Software Engineer,20.0,5.0,Senior,Ruby on Rails,"Ruby, Kubernetes, Docker",80000.0,27.0,full-time,Unlimited contract,German,51-100,Product,No
138,24/11/2020 12:07:44,34,Male,Berlin,QA Engineer,10.0,4.0,Senior,Java,"Python, Kotlin, Javascript / Typescript, Go, AWS, Kubernetes, Docker",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
139,24/11/2020 12:07:47,30,Male,Berlin,Backend Developer,6.0,2.0,Senior,Ruby,"SQL, Elixir",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
140,24/11/2020 12:08:51,35,Male,Berlin,Software Engineer,12.0,1.0,Senior,C#,".NET, SQL, Google Cloud, Kubernetes, Docker",70000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
141,24/11/2020 12:09:03,34,Male,Munich,Cloud Architect,10.0,4.0,Senior,"Azure, SAP","SAP / ABAP, AWS, Google Cloud, Azure, Kubernetes, Docker",120000.0,30.0,full-time,Unlimited contract,English,1000+,Cloud,No
144,24/11/2020 12:09:50,28,Male,Hamburg,Software Engineer,7.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Scala,"Python, Java / Scala, Perl",80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
145,24/11/2020 12:09:55,26,Male,Münster,Data Scientist,5.5,3.0,Junior,Python,"Python, C/C++, SQL, AWS",48000.0,26.0,full-time,Unlimited contract,German,1000+,Product,No
146,24/11/2020 12:10:03,35,Male,Berlin,Frontend Developer,4.0,1.0,Middle,JavaScript,PHP,50000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
147,24/11/2020 12:10:05,31,Female,Munich,QA Engineer,7.0,3.0,Senior,Java,"Python, Ruby",68000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
148,24/11/2020 12:11:42,35,Male,Frankfurt,Software Engineer,12.0,3.0,Senior,java,"Python, Kotlin, Javascript / Typescript, Java / Scala, Docker",66000.0,25.0,full-time,Unlimited contract,German,51-100,Consulting / Agency,No
150,24/11/2020 12:12:35,25,Male,Berlin,Backend Developer,4.0,1.0,Middle,Python,"SQL, Go",60000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
151,24/11/2020 12:13:24,42,Female,Berlin,QA Engineer,20.0,1.0,Middle,python,"Python, Javascript / Typescript",55000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
153,24/11/2020 12:14:23,40,Female,Munich,Software Engineer,20.0,7.0,Middle,Java,SQL,54000.0,30.0,full-time,Unlimited contract,German,101-1000,Behörde,No
155,24/11/2020 12:14:52,37,Male,Berlin,Software Engineer,8.0,5.0,Junior,Java,"Java / Scala, AWS, Kubernetes, Docker",60000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
156,24/11/2020 12:15:30,33,Male,Munich,Software Engineer,10.0,3.0,Senior,Java,"AWS, Docker",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
157,24/11/2020 12:16:38,38,Male,Cologne,Software Engineer,11.0,5.0,Senior,PHP,"PHP, Javascript / Typescript, Go, AWS, Google Cloud, Kubernetes, Docker",55000.0,26.0,full-time,Unlimited contract,English,101-1000,Product,No
158,24/11/2020 12:16:49,27,Male,Munich,Frontend Developer,4.0,0.0,Senior,Frontend,Javascript / Typescript,60000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
159,24/11/2020 12:17:15,33,Male,Berlin,Software Engineer,7.0,7.0,Senior,"Java, JavaScript","Javascript / Typescript, Java / Scala, SQL",62000.0,30.0,full-time,Unlimited contract,English,1000+,Consulting / Agency,No
161,24/11/2020 12:17:32,36,Female,Munich,Backend Developer,5.0,1.0,Middle,PHP,"Javascript / Typescript, Docker",60000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
162,24/11/2020 12:17:51,42,Male,Berlin,DevOps,22.0,4.0,Lead,yaml,"Python, PHP, Javascript / Typescript, SQL, Go, Perl, AWS, Google Cloud, Azure, Kubernetes, Docker",70000.0,24.0,full-time,Unlimited contract,English,1000+,Startup,No
163,24/11/2020 12:18:41,32,Male,Frankfurt,Network Engineer ,10.0,2.0,Senior,Python ,"Python, Docker",68500.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No
164,24/11/2020 12:21:10,31,Male,Berlin,Frontend Developer,10.0,1.5,Senior,Javascript,"Javascript / Typescript, SQL, Google Cloud, Docker",71060.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
165,24/11/2020 12:21:33,33,Female,Berlin,QA Engineer,6.0,0.5,Middle,Java,"Python, Kubernetes",60000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
166,24/11/2020 12:21:45,40,Male,Berlin,VP Engineering,10.0,7.0,VP,JS,"Javascript / Typescript, AWS",100000.0,24.0,full-time,Unlimited contract,English,51-100,Product,No
168,24/11/2020 12:23:47,28,Male,Munich,Backend Developer,6.0,5.0,Senior,Java,"Javascript / Typescript, Java / Scala, SQL",70000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
170,24/11/2020 12:26:12,31,Male,Berlin,Software Engineer,9.0,4.0,Senior,Python,"Python, SQL, AWS, Kubernetes, Docker",90000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
172,24/11/2020 12:27:21,29,Male,Berlin,Software Engineer,8.0,3.0,Middle,PHP,"PHP, Javascript / Typescript, SQL, AWS, Docker",55000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
173,24/11/2020 12:27:23,40,Male,Munich,Mobile Developer,25.0,2.0,Lead,Swift,"Swift, Objective-C",85000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
174,24/11/2020 12:28:08,46,Male,Munich,QA Engineer,13.0,13.0,Senior,Java,SQL,70000.0,28.0,full-time,Unlimited contract,German,101-1000,Product,No
176,24/11/2020 12:28:23,33,Male,Berlin,ML Engineer,10.0,5.0,Middle,Python,"Python, C/C++, Pytorch",62000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
177,24/11/2020 12:28:45,34,Male,Berlin,Software Engineer,14.0,4.0,Lead,Java,"Kotlin, Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",95000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
178,24/11/2020 12:28:58,36,Male,Berlin,Backend Developer,18.0,1.0,Senior,PHP,"PHP, AWS, Google Cloud",65000.0,26.0,full-time,Unlimited contract,English,101-1000,Product,No
179,24/11/2020 12:29:35,33,Female,Berlin,QA Engineer,8.0,1.5,Senior,-,Python,50000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,Yes
180,24/11/2020 12:30:03,32,Male,Berlin,Software Engineer,11.0,6.0,Lead,Android,"Python, Kotlin, Swift, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
181,24/11/2020 12:35:28,46,Male,Berlin,Software Engineer,14.0,14.0,Senior,JavaScript,"PHP, Javascript / Typescript, SQL, Google Cloud, Docker",80000.0,30.0,full-time,Unlimited contract,English,51-100,Product,Yes
182,24/11/2020 12:36:04,30,Male,Munich,Mobile Developer,8.0,1.0,Senior,Kotlin,"Kotlin, Java / Scala",66000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
